Year,GDP,Agriculture,Services,Industry,Manufacturing,Imports of goods ,Exports of goods
2003,2.11E+10,1.92E+09,1.14E+10,5.08E+09,2.90E+09,9.45E+09,7.31E+09
2004,2.37E+10,2.01E+09,1.28E+10,5.43E+09,3.00E+09,1.25E+10,9.80E+09
2005,2.71E+10,1.97E+09,1.45E+10,6.55E+09,3.67E+09,1.56E+10,1.16E+10
2006,3.09E+10,1.89E+09,1.64E+10,7.77E+09,4.13E+09,1.99E+10,1.46E+10
2007,3.68E+10,1.71E+09,1.99E+10,9.63E+09,5.13E+09,2.62E+10,1.93E+10
2008,4.22E+10,2.48E+09,2.25E+10,1.05E+10,5.19E+09,3.05E+10,2.22E+10
2009,4.23E+10,1.79E+09,2.38E+10,1.12E+10,5.40E+09,2.14E+10,1.79E+10
2010,4.34E+10,1.80E+09,2.56E+10,1.03E+10,5.08E+09,2.30E+10,2.18E+10
2011,4.69E+10,2.15E+09,2.68E+10,1.20E+10,6.44E+09,2.75E+10,2.77E+10
2012,4.76E+10,2.17E+09,2.71E+10,1.19E+10,6.50E+09,3.05E+10,2.89E+10
2013,4.75E+10,2.19E+09,2.76E+10,1.11E+10,6.03E+09,3.10E+10,3.08E+10
