Year,goods and services,income,international trade,Other taxes,Social contributions,Revenue
2003,4800000000,2120000000,241000000,87000000,3690000000,9630000000
2004,6010000000,2260000000,304000000,97700000,4080000000,11500000000
2005,6970000000,2090000000,385000000,102000000,4420000000,16300000000
2006,8240000000,2440000000,468000000,88100000,4300000000,17800000000
2007,9920000000,4560000000,2500000,34800000,4890000000,23300000000
2008,11900000000,4190000000,2520000,19000000,5390000000,26500000000
2009,10100000000,3770000000,2700000,21100000,5270000000,23800000000
2010,10200000000,3540000000,3220000,19800000,4970000000,22800000000
2011,10700000000,3600000000,2810000,23500000,5420000000,23500000000
2012,11800000000,3730000000,16400000,20200000,5600000000,25700000000
2013,12200000000,4050000000,11300000,10500000,6120000000,27100000000
