Year,Bulgaria,Greece,Poland,Romania,Russian
2003,11365854000,129793682919,127539880000,22224000000,113733364501
2004,12827860000,143601873181,136385600000,27197976000,138010886719
2005,14490778000,152335801720,144596140000,33567360000,168749948146
2006,16343472000,161057024878,155615200000,40030032000,214138075261
2007,19902584000,176639351752,170747720000,50854728000,269560451346
2008,22496402000,191117384431,186382820000,60030096000,334809321407
2009,23785278000,191369356916,202020520000,60379440000,333844696567
2010,25584032000,182912676024,211301220000,58844136000,393587125842
2011,26812124000,166645745317,224945500000,57914472000,518484805222
2012,27108156000,152998146926,238055480000,72207120000,589963010245
2013,27536196000,144584850350,246756380000,77267400000,654887201967
