Year,GDP,Agriculture,Services,Industry,Manufacturing,Imports of goods ,Exports of goods
2003,2.02E+11,1.01E+10,1.30E+11,4.15E+10,1.85E+10,5.99E+10,3.75E+10
2004,2.19E+11,9.36E+09,1.44E+11,4.45E+10,1.91E+10,6.38E+10,4.53E+10
2005,2.25E+11,9.65E+09,1.53E+11,4.01E+10,1.93E+10,6.67E+10,4.80E+10
2006,2.46E+11,7.88E+09,1.62E+11,4.92E+10,2.08E+10,7.80E+10,5.21E+10
2007,2.63E+11,7.99E+09,1.76E+11,4.73E+10,2.23E+10,9.21E+10,5.92E+10
2008,2.73E+11,7.67E+09,1.91E+11,4.28E+10,2.33E+10,9.83E+10,6.38E+10
2009,2.69E+11,7.53E+09,1.91E+11,4.11E+10,2.05E+10,7.72E+10,5.10E+10
2010,2.55E+11,7.37E+09,1.83E+11,3.54E+10,1.85E+10,7.85E+10,5.65E+10
2011,2.34E+11,6.90E+09,1.66E+11,3.20E+10,1.83E+10,7.56E+10,5.98E+10
2012,2.16E+11,6.99E+09,1.53E+11,3.10E+10,1.74E+10,7.16E+10,6.19E+10
2013,2.05E+11,6.54E+09,1.45E+11,2.99E+10,1.73E+10,6.77E+10,6.19E+10
