Year,goods and services,income,international trade,Other taxes,Social contributions,Revenue
2003,21000000000,13000000000,22000000,1290000000,22300000000,67700000000
2004,21800000000,13900000000,22000000,1340000000,23400000000,73400000000
2005,22900000000,16100000000,11000000,1530000000,24500000000,76600000000
2006,25800000000,16100000000,6000000,1670000000,25900000000,83300000000
2007,28300000000,17200000000,7000000,1660000000,28900000000,91700000000
2008,29300000000,17600000000,2000000,1960000000,30600000000,96000000000
2009,27300000000,17900000000,2000000,1780000000,29300000000,89900000000
2010,28200000000,16000000000,1000000,1500000000,29700000000,90600000000
2011,27600000000,15000000000,4000000,3130000000,27300000000,88500000000
2012,25700000000,16200000000,4500000,3250000000,26600000000,86300000000
2013,25000000000,14000000000,5000000,3850000000,24500000000,85900000000
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
