Year,GDP,Agriculture,Services,Industry,Manufacturing,Imports of goods ,Exports of goods
2003,2.20E+11,5.67E+09,1.28E+11,6.06E+10,3.43E+10,7.93E+10,7.33E+10
2004,2.43E+11,7.93E+09,1.37E+11,7.02E+10,4.00E+10,8.97E+10,8.32E+10
2005,2.57E+11,7.46E+09,1.45E+11,7.44E+10,4.16E+10,9.18E+10,8.92E+10
2006,2.78E+11,7.44E+09,1.56E+11,8.09E+10,4.58E+10,1.11E+11,1.05E+11
2007,3.09E+11,9.28E+09,1.71E+11,8.94E+10,5.10E+10,1.30E+11,1.19E+11
2008,3.35E+11,8.48E+09,1.86E+11,9.72E+10,5.46E+10,1.44E+11,1.27E+11
2009,3.56E+11,8.87E+09,2.02E+11,1.06E+11,5.88E+10,1.36E+11,1.33E+11
2010,3.77E+11,9.65E+09,2.11E+11,1.10E+11,5.85E+10,1.58E+11,1.51E+11
2011,4.08E+11,1.15E+10,2.25E+11,1.21E+11,6.47E+10,1.81E+11,1.73E+11
2012,4.24E+11,1.13E+10,2.38E+11,1.26E+11,6.92E+10,1.90E+11,1.88E+11
2013,4.32E+11,1.24E+10,2.47E+11,1.23E+11,6.84E+10,1.91E+11,1.99E+11
