Year,goods and services,income,international trade,Other taxes,Social contributions,Revenue
2003,25142000000,10218000000,985400000,468000000,2.99E+10,4.94E+10
2004,2.81E+10,9048000000,423800000,585000000,3.17E+10,5.07E+10
2005,3.12E+10,10504000000,48620000,668200000,3.35E+10,8.58E+10
2006,3.46E+10,12428000000,88920000,696800000,3.59E+10,9.39E+10
2007,3.93E+10,15704000000,124020000,803400000,3.90E+10,1.06E+11
2008,4.26E+10,17134000000,44980000,943800000,4.03E+10,1.12E+11
2009,4.03E+10,15496000000,73060000,985400000,4.26E+10,1.12E+11
2010,4.63E+10,15002000000,73060000,967200000,4.39E+10,1.20E+11
2011,5.04E+10,16406000000,73060000,1086800000,4.89E+10,1.32E+11
2012,4.89E+10,17524000000,73060000,1115400000,5.43E+10,1.38E+11
2013,4.91E+10,16770000000,73060000,1040000000,5.67E+10,1.38E+11
