Year,Bulgaria,Greece,Poland,Romania,Russian
2003,5585400000,76501000000,4.94E+10,14112000000,5.82E+10
2004,6670000000,82942000000,5.07E+10,18024000000,7.31E+10
2005,9454000000,86558000000,8.58E+10,21240000000,1.05E+11
2006,10324000000,94129000000,9.39E+10,2.59E+10,1.24E+11
2007,13514000000,1.04E+11,1.06E+11,3.34E+10,1.63E+11
2008,15370000000,1.08E+11,1.12E+11,3.98E+10,2.22E+11
2009,13804000000,1.02E+11,1.12E+11,3.65E+10,1.58E+11
2010,13224000000,1.02E+11,1.20E+11,3.89E+10,1.94E+11
2011,13630000000,1.00E+11,1.32E+11,4.20E+10,2.80E+11
2012,14906000000,97519000000,1.38E+11,4.44E+10,2.96E+11
2013,15718000000,97067000000,1.38E+11,4.58E+10,3.10E+11
