Year,GDP,Agriculture,Services,Industry,Manufacturing,Imports of goods ,Exports of goods
2003,4.78E+10,5.50E+09,2.22E+10,1.48E+10,9.70E+09,2.00E+10,1.65E+10
2004,5.98E+10,7.46E+09,2.71E+10,1.87E+10,1.25E+10,2.66E+10,2.13E+10
2005,6.96E+10,5.83E+09,3.36E+10,2.22E+10,1.46E+10,3.00E+10,2.29E+10
2006,8.33E+10,6.43E+09,4.01E+10,2.71E+10,1.74E+10,3.67E+10,2.66E+10
2007,1.03E+11,5.59E+09,5.09E+10,3.50E+10,2.17E+10,4.37E+10,2.93E+10
2008,1.29E+11,8.14E+09,6.00E+10,4.75E+10,2.86E+10,5.06E+10,3.38E+10
2009,1.26E+11,7.75E+09,6.05E+10,4.61E+10,2.66E+10,4.13E+10,3.36E+10
2010,1.27E+11,6.34E+09,5.88E+10,4.80E+10,2.90E+10,4.92E+10,4.10E+10
2011,1.34E+11,8.40E+09,5.78E+10,5.16E+10,3.34E+10,5.76E+10,4.97E+10
2012,1.43E+11,6.67E+09,7.22E+10,4.63E+10,2.83E+10,6.07E+10,5.33E+10
2013,1.52E+11,8.21E+09,7.73E+10,4.90E+10,3.10E+10,6.19E+10,6.07E+10
