Year,goods and services,income,international trade,Other taxes,Social contributions,Revenue
2003,5208000000,2664000000,331200000,1344000,4680000000,14112000000
2004,6192000000,3624000000,422400000,1320000,5736000000,18024000000
2005,8016000000,3480000000,525600000,1272000,7104000000,21240000000
2006,9408000000,4728000000,628800000,7560000,8544000000,2.59E+10
2007,11568000000,6336000000,15288000,336000,10464000000,3.34E+10
2008,13776000000,7944000000,13296000,22200000,12480000000,3.98E+10
2009,12240000000,7200000000,11688000,13392000,12288000000,3.65E+10
2010,14160000000,6888000000,6216000,1464000,11880000000,3.89E+10
2011,16608000000,7656000000,2328000,264000,12192000000,4.20E+10
2012,17856000000,7680000000,23088000,312000,12480000000,4.44E+10
2013,18480000000,8352000000,3816000,12216000,13152000000,4.58E+10
